"ID";"TIP";"TipVehiculAsigurat";"Categ";"Marca";"Model";"Capacitate";"Putere";"Nr_locuri";"An_fabr";"Masa_max";"0"
"4320949";"RCA";"Inmatriculat";"Autoturism";"SKODA";"SUPERB";"1968";"103";"5";"2011";"2110";"0"
"4324770";"RCA";"Inmatriculat";"Autoturism";"PEUGEOT";"206 1.4 HDI X-LINE";"1398";"50";"5";"2006";"1525";"0"
"4342765";"RCA";"Inmatriculat";"Remorca / atas";"SCHWARTZ MULER";"S1";"0";"0";"0";"2011";"39000";"0"
"4354417";"RCA";"Inmatriculat";"Autoturism";"HYUNDAI";"TUCSON";"1991";"103";"5";"2006";"2260";"0"
"4366793";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"PASSAT";"1896";"96";"5";"2004";"2030";"0"
"4370241";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF 4";"1896";"66";"5";"2001";"1410";"0"
"4371694";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF";"1781";"55";"5";"2005";"1535";"0"
"4379794";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES";"SPRINTER";"2148";"80";"3";"2001";"3500";"0"
"4382349";"RCA";"Inmatriculat";"Autoutilitara";"PEUGEOT";"BOXER";"2198";"74";"3";"2007";"3500";"0"
"4416536";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF";"1896";"66";"5";"2000";"1780";"0"
"4432650";"RCA";"Inmatriculat";"Autoutilitara";"IVECO";"DAILY";"2286";"85";"3";"2001";"3500";"0"
"4437927";"RCA";"Inmatriculat";"Autoutilitara";"FORD";"TRANSIT";"2402";"74";"7";"2007";"3500";"0"
"4448387";"RCA";"Inmatriculat";"Autoturism";"BMW";"318 IS";"1795";"103";"5";"1993";"1680";"0"
"4456659";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1896";"77";"5";"2009";"1970";"0"
"4458982";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF 1,9TDI";"1896";"74";"5";"2001";"1900";"0"
"4459916";"RCA";"Inmatriculat";"Autoturism";"PEUGEOT";"307";"1997";"79";"5";"2002";"2016";"0"
"4471370";"RCA";"Inmatriculat";"Autoturism";"FORD";"ESCORT";"1753";"44";"5";"1991";"1500";"0"
"4475170";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA";"1796";"92";"4";"2004";"1635";"0"
"4480530";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LOGAN";"1390";"55";"5";"2005";"1535";"0"
"4494389";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES";"SPRINTER";"2148";"80";"3";"2000";"2800";"0"
"4503672";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA";"1598";"62";"5";"2001";"1660";"0"
"4508222";"RCA";"Inmatriculat";"Autoutilitara";"CITROEN";"JUMPER";"2198";"96";"3";"2015";"3500";"0"
"4512700";"RCA";"Inmatriculat";"Autoutilitara";"NISSAN";"PICKUP";"2488";"98";"5";"2009";"2860";"0"
"4531705";"RCA";"Inmatriculat";"Autoturism";"SKODA";"OCTAVIA";"1896";"77";"5";"2008";"1985";"0"
"4532722";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"PASSAT";"1968";"103";"5";"2007";"2060";"0"
"4541311";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA";"1598";"55";"5";"1996";"1730";"0"
"4544179";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"SHARAN";"1896";"85";"7";"2004";"2510";"0"
"4546270";"RCA";"Inmatriculat";"Autoturism";"NISSAN";"JUKE";"1598";"86";"5";"2011";"1645";"0"
"4556511";"RCA";"Inmatriculat";"Autoturism";"VW";"PASSAT";"1896";"96";"5";"2005";"2160";"0"
"4568752";"RCA";"Inmatriculat";"Autoturism";"FORD";"FOCUS";"1596";"74";"5";"2000";"1635";"0"
"4575243";"RCA";"Inmatriculat";"Autoturism";"DACIA";"DUSTER";"1461";"81";"5";"2011";"1844";"0"
"4585392";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LOGAN";"1390";"55";"5";"2005";"1535";"0"
"4593065";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES";"SPRINTER";"2148";"60";"3";"2003";"3500";"0"
"4593997";"RCA";"Inmatriculat";"Autoutilitara";"VOLKSWAGEN";"TRANSPORTER";"1896";"63";"3";"2005";"2800";"0"
"4594396";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1390";"55";"5";"2002";"1710";"0"
"4603226";"RCA";"Inmatriculat";"Autoutilitara";"OPEL";"MOVANO";"2188";"66";"3";"2002";"2800";"0"
"4606790";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF";"1390";"55";"5";"2001";"1710";"0"
"4610314";"RCA";"Inmatriculat";"Autoturism";"AUDI";"A6";"2496";"120";"5";"2003";"2195";"0"
"4616039";"RCA";"Inmatriculat";"Autoturism";"RENAULT";"MEGANE";"1461";"63";"5";"2009";"1770";"0"
"4659477";"RCA";"Inmatriculat";"Autoturism";"HONDA";"CIVIC 4DR";"1799";"103";"5";"2007";"1675";"0"
"4666171";"RCA";"Inmatriculat";"Autoutilitara";"FORD";"TRANSIT";"1753";"66";"2";"2008";"2340";"0"
"4680959";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1390";"90";"5";"2010";"1850";"0"
"4689855";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES BENZ";"SPRINTER 518CDI";"2987";"135";"3";"2009";"3500";"0"
"4696008";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"PASSAT";"1968";"103";"5";"2009";"2060";"0"
"4722712";"RCA";"Inmatriculat";"Autoturism";"AUDI";"A4";"1896";"85";"5";"2007";"1940";"0"
"4737313";"RCA";"Inmatriculat";"Autoutilitara";"MAN";"CARGOBULL";"11967";"301";"2";"2002";"18000";"0"
"4743367";"RCA";"Inmatriculat";"Autoturism";"SUZUKI";"VITARA";"1586";"88";"5";"2016";"1730";"0"
"4747374";"RCA";"Inmatriculat";"Autoturism";"FORD";"FOCUS";"1753";"85";"5";"2002";"1760";"0"
"4752466";"RCA";"Inmatriculat";"Autoturism";"VW";"POLO";"1198";"47";"5";"2003";"1550";"0"
"4770390";"RCA";"Inmatriculat";"Autoutilitara";"DAF";"FTXF";"12902";"340";"2";"2012";"18600";"0"
"4771395";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"CARAVELLE";"2461";"75";"8";"1999";"2620";"0"
"4815538";"RCA";"Inmatriculat";"Autoutilitara";"DAF";"XF";"12902";"340";"2";"2008";"18000";"0"
"4818723";"RCA";"Inmatriculat";"Autoutilitara";"VOLVO";"FH12";"12130";"309";"2";"2000";"20100";"0"
"4824420";"RCA";"Inmatriculat";"Autoutilitara";"MAN";"TGX 18.440";"10518";"324";"2";"2009";"18000";"0"
"4830877";"RCA";"Inmatriculat";"Autoturism";"MERCEDES-BENZ";"GLK-KLASSE";"3498";"200";"5";"2010";"2480";"0"
"4855171";"RCA";"Inmatriculat";"Autoturism";"LEXUS";"RX450H";"3456";"183";"5";"2011";"2700";"0"
"4858958";"RCA";"Inmatriculat";"Autoutilitara";"DAF";"FTXF105.460T";"12902";"340";"2";"2010";"20500";"0"
"4866803";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA  SPORTS TOURER";"1686";"74";"5";"2008";"1950";"0"
"4884137";"RCA";"Inmatriculat";"Autoturism";"SKODA";"FABIA";"1896";"74";"5";"2002";"1695";"0"
"4887182";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES BENZ";"ACTROS";"12809";"330";"2";"2012";"18000";"0"
"4887440";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES BENZ";"ACTROS";"12809";"330";"2";"2012";"18000";"0"
"4892617";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LOGAN";"1390";"55";"5";"2007";"1535";"0"
"4896298";"RCA";"Inmatriculat";"Autoturism";"SKODA";"RAPID";"1197";"63";"5";"2014";"1615";"0"
"4904016";"RCA";"Inmatriculat";"Autoutilitara";"IVECO";"STRALIS450";"10308";"332";"2";"2009";"18000";"0"
"4907913";"RCA";"Inmatriculat";"Autoturism";"SKODA";"OCTAVIA";"1896";"77";"5";"2006";"1970";"0"
"4908802";"RCA";"Inmatriculat";"Autoturism";"SEAT";"LEON";"1984";"110";"5";"2005";"1830";"0"
"4914659";"RCA";"Inmatriculat";"Autoturism";"FORD";"FOCUS";"1560";"80";"5";"2010";"1900";"0"
"4926507";"RCA";"Inmatriculat";"Autoutilitara";"MITSUBISHI";"KAOT/KB121/L200";"2477";"100";"5";"2006";"2850";"0"
"4947895";"RCA";"Inmatriculat";"Autoutilitara";"VOLVO";"FH460";"12777";"254";"2";"2012";"18000";"0"
"4953558";"RCA";"Inmatriculat";"Autoturism";"BMW";"316";"1596";"73";"5";"2000";"1590";"0"
"4953881";"RCA";"Inmatriculat";"Autoturism";"VW";"TOURAN";"1896";"77";"5";"2006";"2250";"0"
"4965260";"RCA";"Inmatriculat";"Autoutilitara";"SCANIA";"R440";"12740";"324";"2";"2010";"18600";"0"
"4980806";"RCA";"Inmatriculat";"Autoturism";"MERCEDES BENZ";"E250CD1";"2143";"150";"5";"2009";"2280";"0"
"4981985";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"TOURAN";"1968";"100";"5";"2003";"2210";"0"
"4995994";"RCA";"Inmatriculat";"Autoturism";"X5";"BMW";"2979";"170";"5";"2007";"2550";"0"
"5002807";"RCA";"Inmatriculat";"Autoturism";"BMW";"320D";"1995";"110";"5";"2005";"2005";"0"
"5017747";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF VARIANT";"1896";"74";"5";"2003";"1900";"0"
"5018613";"RCA";"Inmatriculat";"Autoturism";"BMW";"525D";"2497";"130";"5";"2004";"2145";"0"
