"ID";"tip";"data_Start";"data_End";"BM";"Prima";"valuta";"sumaAsig";"factorReducere";"factorMajorare";"data_emitere";"nrRate";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"3355899";"RCA";"2016-01-13";"2017-01-12";"B2";"445.56";"RON";"0";"Pensionar";;"2016-01-03";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3360758";"RCA";"2016-01-05";"2017-01-04";"B2";"458.29";"RON";"0";"Pensionar";;"2016-01-04";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3376513";"RCA";"2016-01-15";"2017-01-14";"B11";"446.1";"RON";"0";"Fara";;"2016-01-08";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3376628";"RCA";"2016-01-09";"2017-01-08";"B7";"608.05";"RON";"0";"Fara";;"2016-01-08";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3404007";"RCA";"2016-01-20";"2017-01-19";"B10";"477.87";"RON";"0";"Fara";;"2016-01-13";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3407022";"RCA";"2016-01-18";"2017-01-17";"B6";"290.46";"RON";"0";"Pensionar";;"2016-01-14";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3411758";"RCA";"2016-01-21";"2017-01-20";"B14";"237.89";"RON";"0";"Fara";;"2016-01-15";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3431079";"RCA";"2016-01-30";"2017-01-29";"B3";"491";"RON";"0";"Fara";;"2016-01-19";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3434556";"RCA";"2016-02-01";"2017-01-31";"B2";"798.54";"RON";"0";"Fara";;"2016-01-20";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3487239";"RCA";"2016-02-22";"2017-02-21";"B2";"395.8";"RON";"0";"Rural";;"2016-02-03";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3504573";"RCA";"2016-02-09";"2017-02-08";"B3";"516.07";"RON";"0";"Fara";;"2016-02-08";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3521653";"RCA";"2016-03-12";"2017-03-11";"B2";"462.92";"RON";"0";"Rural";;"2016-02-12";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3530103";"RCA";"2016-02-15";"2017-02-14";"B0";"540.08";"RON";"0";"Fara";;"2016-02-14";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3550611";"RCA";"2016-02-22";"2017-02-21";"B4";"351.13";"RON";"0";"Fara";;"2016-02-18";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3551233";"RCA";"2016-03-11";"2017-03-10";"B14";"160.74";"RON";"0";"Pensionar";;"2016-02-18";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3575630";"RCA";"2016-02-25";"2017-02-24";"B12";"287.75";"RON";"0";"Fara";;"2016-02-24";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3586719";"RCA";"2016-02-27";"2017-02-26";"B4";"351.47";"RON";"0";"Fara";;"2016-02-26";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3633887";"RCA";"2016-03-10";"2017-03-09";"B0";"813.32";"RON";"0";"Pensionar";;"2016-03-10";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3668194";"RCA";"2016-03-18";"2017-03-17";"B14";"212.17";"RON";"0";"Pensionar";;"2016-03-17";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3688465";"RCA";"2016-04-03";"2017-04-02";"B7";"314.98";"RON";"0";"Fara";;"2016-03-22";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3711826";"RCA";"2016-04-02";"2017-04-01";"B8";"10297.51";"RON";"0";"Fara";;"2016-03-28";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3720084";"RCA";"2016-04-01";"2017-03-31";"B14";"300.04";"RON";"0";"Fara";;"2016-03-30";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3733322";"RCA";"2016-04-03";"2017-04-02";"M3";"720.1";"RON";"0";"Fara";;"2016-04-02";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3779227";"RCA";"2016-05-01";"2017-04-30";"B2";"513.84";"RON";"0";"Fara";;"2016-04-13";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"3811347";"RCA";"2016-04-21";"2016-10-20";"B9";"5468.45";"RON";"0";"Rural";;"2016-04-20";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
